"AwardCeremony","Const","Title","Year","Your.Rating","Runtime..mins.","Genres","Directors","Writer","Actors","Plot","Language","Country","Awards","Poster","IMDb.Rating","Num.Votes","Title.Type","Date.Rated","Service","AFI","Theater","Nominations","Losses","Wins"
"01-1929","tt0018455","Sunrise: A Song of Two Humans",1927,9,94,"Drama, Romance","F.W. Murnau","Carl Mayer, Hermann Sudermann, Katherine Hilliker","George O'Brien, Janet Gaynor, Margaret Livingston","A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme.","None, English","United States","Won 3 Oscars. 6 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BNDVkYmYwM2ItNzRiMy00NWQ4LTlhMjMtNDI1ZDYyOGVmMzJjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg",8.1,52845,"movie","2022-12-08","Prime",NA,NA,4,1,3
"01-1929","tt0018515","Two Arabian Knights",1927,7,92,"Adventure, Comedy, Romance","Lewis Milestone","Wallace Smith, Cyril Gardner, Donald McGibney","William Boyd, Mary Astor, Louis Wolheim","Two American soldiers are captured by the Germans on the Western Front during World War One and escape a POW camp only to stumble into further life-threatening adventures when they come across an Arabian king's daughter while on the","English","United States","Won 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNTJiNGE2M2MtODUyOS00OTI0LTgzODEtYjc0M2UwZTNjNWQzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg",6.7,1090,"movie","2022-05-26",NA,NA,NA,1,0,1
"01-1929","tt0018526","Underworld",1927,6,80,"Crime, Drama, Film-Noir, Romance","Arthur Rosson, Josef von Sternberg","Charles Furthman, Howard Hawks, Ben Hecht","George Bancroft, Clive Brook, Evelyn Brent","Boisterous gangster kingpin Bull Weed rehabilitates his former lawyer from his alcoholic haze, but complications arise when he falls for Weed's girlfriend.","English","United States","Won 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNTJmZmI3OWMtZGQyZS00ZmZiLTgyNDgtMDdkNzYxZWJlMzEwXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg",7.5,3330,"movie","2022-02-10",NA,NA,NA,1,0,1
"01-1929","tt0018578","Wings",1927,8,144,"Drama, Romance, War, Action","Harry d'Abbadie d'Arrast, William A. Wellman","John Monk Saunders, Hope Loring, Louis D. Lighton","Clara Bow, Charles 'Buddy' Rogers, Richard Arlen","Two young men, one rich, one middle class, who are in love with the same woman, become fighter pilots in World War I.","English","United States","Won 2 Oscars. 6 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BYTI1YjgzZmMtZmIyYy00YTkwLTgyOWEtOTVlNTFkZmMzNTk3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg",7.6,13959,"movie","2022-02-20",NA,NA,NA,2,0,2
"01-1929","tt0018806","The Crowd",1928,7,98,"Drama, Romance","King Vidor","King Vidor, John V.A. Weaver, Joseph Farnham","Eleanor Boardman, James Murray, Bert Roach","The life of a man and woman together in a large, impersonal metropolis through their hopes, struggles and downfalls.","None","United States","Nominated for 2 Oscars. 3 wins & 3 nominations total","https://m.media-amazon.com/images/M/MV5BNjhhN2QzYzEtNmE3Ny00OWU3LWEwNmUtYTQ1ZmRjNWQ2YzMyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg",8.1,8882,"movie","2023-08-27",NA,NA,NA,2,2,0
"01-1929","tt0018945","Glorious Betsy",1928,5,80,"Drama, History","Alan Crosland","Anthony Coldeway, Jack Jarmuth, Rida Johnson Young","Dolores Costello, Conrad Nagel, John Miljan","The real-life courtship, marriage, and forced breakup of Jérôme Bonaparte, brother of Napoleon, and his rich wife from the American south, Elizabeth Patterson. Napoleon did not approve of the union and fixes him up with another girl.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BN2M1YmRjNjItNDUyOS00MWM3LTlhZGQtNmVhYzg0MTgzNGNhXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg",5.8,141,"movie","2023-08-30",NA,NA,NA,1,1,0
"01-1929","tt0019071","The Last Command",1928,NA,88,"Drama, History, Romance, War","Josef von Sternberg","Lajos Biró, John F. Goodrich, Ernst Lubitsch","Emil Jannings, Evelyn Brent, William Powell","A former Imperial Russian general and cousin of the Czar ends up in Hollywood as an extra in a movie directed by a former revolutionary.","None, English","United States","Won 1 Oscar. 2 wins & 3 nominations total","https://m.media-amazon.com/images/M/MV5BNGVhZmVkNmEtMjUyMC00YTFhLWIzMmEtNmQxMmE1NTBhMjQyXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg",8,4326,"movie",NA,NA,NA,NA,2,1,1
"01-1929","tt0019217","The Noose",1928,NA,65,"Drama","John Francis Dillon","Garrett Graham, Willard Mack, James T. O'Donohoe","Richard Barthelmess, Montagu Love, Robert Emmett O'Connor","A crook blackmails a governor because of knowing his wife's dark past.","None, English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNDM4YjRkMjktYmJjZS00Njc5LTljYjYtYjYzNTRlMmViMTljL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg",6.7,80,"movie",NA,NA,NA,NA,1,1,0
"01-1929","tt0019304","The Racket",1928,NA,84,"Crime, Drama, Film-Noir","Lewis Milestone","Bartlett Cormack, Del Andrews, Tom Miranda","Thomas Meighan, Louis Wolheim, Marie Prevost","An honest police captain vows to bring down a powerful bootlegger who is protected by corrupt politicians and judges.","None, English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTk5Mzc0MDY2N15BMl5BanBnXkFtZTgwMTg4MjQ3NDE@._V1_SX300.jpg",6.6,1471,"movie",NA,NA,NA,NA,1,1,0
"01-1929","tt0019344","Sadie Thompson",1928,NA,97,"Drama","Raoul Walsh","W. Somerset Maugham, Raoul Walsh, C. Gardner Sullivan","Lionel Barrymore, Blanche Friderici, Charles Lane","A prostitute seeking a fresh start becomes the obsession of a religious extremist.","English","United States","Nominated for 2 Oscars. 2 nominations total","https://m.media-amazon.com/images/M/MV5BOTkyOTQ1NzU1Nl5BMl5BanBnXkFtZTgwODY1MTczMTE@._V1_SX300.jpg",7.2,2773,"movie",NA,NA,NA,NA,2,2,0
"01-1929","tt0019412","Speedy",1928,7,85,"Action, Comedy, Family","Ted Wilde","John Grey, Lex Neal, Howard Emmett Rogers","Harold Lloyd, Ann Christy, Bert Woodruff","Harold ""Speedy"" Swift, a fan of Babe Ruth and the New York Yankees, saves from extinction the city's last horse-drawn trolley, operated by his girlfriend's grandfather.","None, English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTg0ODM0NzEwN15BMl5BanBnXkFtZTgwMzgzODYwMjE@._V1_SX300.jpg",7.6,4109,"movie","2022-05-27",NA,NA,NA,1,1,0
"01-1929","tt0019429","Street Angel",1928,NA,102,"Drama","Frank Borzage","Monckton Hoffe, Philip Klein, Henry Roberts Symonds","Janet Gaynor, Charles Farrell, Natalie Kingston","A woman on the run from the law finds her past catching up to her just as she is on the verge of true happiness.","None","United States","Won 1 Oscar. 1 win & 5 nominations total","https://m.media-amazon.com/images/M/MV5BMTk0NTU1NzM0Ml5BMl5BanBnXkFtZTgwNDEyOTYyMjE@._V1_SX300.jpg",7.3,2495,"movie",NA,NA,NA,NA,1,0,1
"01-1929","tt0019451","Tempest",1928,NA,102,"Drama, Romance","Lewis Milestone, Viktor Tourjansky, Sam Taylor","George Marion Jr., Lewis Milestone, Vladimir Nemirovich-Danchenko","John Barrymore, Camilla Horn, Louis Wolheim","In Czarist Russia, a peasant officer, resented by the aristocrats, falls in love with a princess.","English","United States","Won 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BOGEwMTg2NjQtZDE0Yy00ZjEwLTg1NzAtNGVlYzk5NWM4NDhiXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg",6.8,491,"movie",NA,NA,NA,NA,1,0,1
"01-1929","tt0019553","The Way of All Flesh",1927,NA,94,"Drama","Victor Fleming","Perley Poore Sheehan, Lajos Biró, Jules Furthman","Emil Jannings, Belle Bennett, Phyllis Haver","A happy bank clerk loses his identity after a robbery and is then presumed dead.","None","United States","Won 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTU5OTIzNTEyNl5BMl5BanBnXkFtZTgwNzgxOTYyMjE@._V1_SX300.jpg",6.8,206,"movie",NA,NA,NA,NA,1,0,1
"01-1929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0
"02-1930","tt0018666","The Awakening",1928,NA,90,"Drama, Romance, War","Victor Fleming","Frances Marion, H.H. Caldwell, Carey Wilson","Vilma Bánky, Walter Byron, Louis Wolheim","In Alsace just before the World War, Marie Ducrot, a beautiful and virtuous peasant who falls in love with Count Karl von Hagen--a lieutenant in the German Army--is seen visiting Karl in his quarters, and an angry mob of townspeople","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjIwMWMzNjctMTUyYS00MDM5LWFlMGUtYzgyODVlOTZjOGMwXkEyXkFqcGdeQXVyMjYzMDY1NTg@._V1_SX300.jpg",5.5,84,"movie",NA,NA,NA,NA,1,1,0
"02-1930","tt0018674","The Barker",1928,NA,80,"Drama","George Fitzmaurice","Kenyon Nicholson, Benjamin Glazer, Herman J. Mankiewicz","Milton Sills, Dorothy Mackaill, Betty Compson","A carnival barker wants his son to become a lawyer, but his son gets side-tracked into joining the carnival too.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTUzMjE2NTk3NF5BMl5BanBnXkFtZTgwNzkwMDY0MjE@._V1_SX300.jpg",7.1,117,"movie",NA,NA,NA,NA,1,1,0
"02-1930","tt0018792","The Cop",1928,NA,77,"Drama","Donald Crisp","Elliott J. Clawson, Tay Garnett, John W. Krafft","William Boyd, Alan Hale, Jacqueline Logan","Pete Smith, a lift bridge operator in a harbor, feels lonely in his cabin, his only visitor being a policeman on patrol, Sgt. Coughlin. One night, after hearing shots, Smith gives shelter to a wounded man, whom he hides from Coughlin","None","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzY4MjliZGQtNWYxZi00NjIxLWFmMmYtNjU5YmY2OGEzY2ZjXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg",6.2,49,"movie",NA,NA,NA,NA,1,1,0
"02-1930","tt0018907","4 Devils",1928,NA,100,"Drama","F.W. Murnau","Berthold Viertel, Herman Bang, Carl Mayer","Janet Gaynor, Mary Duncan, Charles Morton","Four orphans, raised by an aging clown, becomes a high wire act in a circus.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzk5MzQ4NDI2M15BMl5BanBnXkFtZTgwMDM1Mzg4MjE@._V1_SX300.jpg",7,257,"movie",NA,NA,NA,NA,1,1,0
"02-1930","tt0019237","Our Dancing Daughters",1928,NA,85,"Drama","Harry Beaumont","Josephine Lovett, Marian Ainslee, Ruth Cummings","Joan Crawford, Johnny Mack Brown, Nils Asther","A flapper who's secretly a good girl and a gold digging floozy masquerading as an ingénue both vie for the hand of a millionaire.","English","United States","Nominated for 2 Oscars. 2 nominations total","https://m.media-amazon.com/images/M/MV5BMjIyNTJlNmItODhjOC00OGZkLTgwMDYtMmIyMmYyOTBiZDMwXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg",6.7,1904,"movie",NA,NA,NA,NA,2,2,0
"02-1930","tt0019257","The Patriot",1928,NA,113,"Drama, History, Thriller","Ernst Lubitsch","Ashley Dukes, Julian Johnson, Hanns Kräly","Emil Jannings, Lewis Stone, Florence Vidor","Paul I, the Emperor of All Russia, becomes the target of a deadly conspiracy.","English","United States","Won 1 Oscar. 5 nominations total","https://m.media-amazon.com/images/M/MV5BYjgwNDU1MWMtOTg0NC00NTIwLTg5NGYtYThmYWRjYzFjYTk1XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg",NA,NA,"movie",NA,NA,NA,NA,5,4,1
"02-1930","tt0019348","Sal of Singapore",1928,NA,70,"Drama","Howard Higgin","Elliott J. Clawson, Dale Collins, Pierre Gendron","Phyllis Haver, Alan Hale, Fred Kohler","Sailors find a baby in a rowboat and head to shore to find a woman who knows how to care for it.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjA1OTMzNDg4Ml5BMl5BanBnXkFtZTgwNTM4NzY1MjE@._V1_SX300.jpg",5.5,52,"movie",NA,NA,NA,NA,1,1,0
"02-1930","tt0019398","Skyscraper",1928,NA,68,"Drama","Howard Higgin","Elliott J. Clawson, Tay Garnett, John W. Krafft","William Boyd, Alan Hale, Sue Carol","A man pretends to be interested in his fellow steel worker's sweetheart, in order to help the man recover his spirit and come out of depression.","None, English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMDM2NDk0NDctOTRmMi00N2FiLWI3ZWUtNGVlNTA5NDczOGEzXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg",5.8,135,"movie",NA,NA,NA,NA,1,1,0
"02-1930","tt0019429","Street Angel",1928,NA,102,"Drama","Frank Borzage","Monckton Hoffe, Philip Klein, Henry Roberts Symonds","Janet Gaynor, Charles Farrell, Natalie Kingston","A woman on the run from the law finds her past catching up to her just as she is on the verge of true happiness.","None","United States","Won 1 Oscar. 1 win & 5 nominations total","https://m.media-amazon.com/images/M/MV5BMTk0NTU1NzM0Ml5BMl5BanBnXkFtZTgwNDEyOTYyMjE@._V1_SX300.jpg",7.3,2495,"movie",NA,NA,NA,NA,2,2,0
"02-1930","tt0019557","Weary River",1929,NA,86,"Drama, Music, Romance","Frank Lloyd","Courtney Ryley Cooper, Bradley King, Paul Perez","Richard Barthelmess, Betty Compson, William Holden","A gangster is put in prison, but finds salvation through music while serving his time. Again on the outside, he finds success elusive and temptations abound.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTY3MjAwMDE5MF5BMl5BanBnXkFtZTgwMzE4MDI0MjE@._V1_SX300.jpg",6.1,523,"movie",NA,NA,NA,NA,1,1,0
"02-1930","tt0019574","White Shadows in the South Seas",1928,NA,88,"Drama, Romance","W.S. Van Dyke, Robert J. Flaherty","Frederick O'Brien, Ray Doyle, Jack Cunningham","Monte Blue, Raquel Torres, Robert Anderson","An alcoholic doctor on a Polynesian island, disgusted by white exploitation of the natives, finds himself marooned on a pristinely beautiful island.","English","United States","Won 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZWUzOWM3ODgtYjBlNS00YjRmLWI4OWUtMDY3ZWU3ODEwMDA1XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg",6.8,936,"movie",NA,"Prime Rentals",NA,NA,1,0,1
"02-1930","tt0019591","A Woman of Affairs",1928,NA,98,"Drama","Clarence Brown","Michael Arlen, Marian Ainslee, Ruth Cummings","Greta Garbo, John Gilbert, Lewis Stone","When two childhood sweethearts are kept from marrying, misery ensues.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTQzMzUyNjc0OF5BMl5BanBnXkFtZTgwNTk5MjgzMjE@._V1_SX300.jpg",7.2,1661,"movie",NA,NA,NA,NA,1,1,0
"02-1930","tt0019630","Alibi",1929,NA,91,"Action, Crime, Romance","Roland West","Roland West, C. Gardner Sullivan, John Griffith Wray","Chester Morris, Harry Stubbs, Mae Busch","Chick Williams, a prohibition gangster, rejoins his mob soon after being released from prison. When a policeman is murdered during a robbery, he falls under suspicion. The gangster took Joan, a policeman's daughter, to the theater, s","English","United States","Nominated for 3 Oscars. 3 nominations total","https://m.media-amazon.com/images/M/MV5BZWNjOGZhMmMtZjYxZC00NDE0LWJmOTktMTcyNTNjNjE1ZWRmXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_SX300.jpg",5.7,904,"movie",NA,NA,NA,NA,3,3,0
"02-1930","tt0019722","The Bridge of San Luis Rey",1929,NA,86,"Drama","Charles Brabin","Marian Ainslee, Ruth Cummings, Alice D.G. Miller","Lili Damita, Ernest Torrence, Raquel Torres","A rope bridge over a gorge in the Peruvian Andes snaps, sending five people plunging to their deaths. A priest sets out to find out more about the life of each of the victims.","None","United States","Won 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjI3MTM0MzE2MV5BMl5BanBnXkFtZTgwMjU3NTMzMjE@._V1_SX300.jpg",6.9,95,"movie",NA,NA,NA,NA,1,0,1
"02-1930","tt0019729","The Broadway Melody",1929,NA,100,"Drama, Musical, Romance","Harry Beaumont","Edmund Goulding, Norman Houston, James Gleason","Bessie Love, Anita Page, Charles King","A pair of sisters from the vaudeville circuit try to make it big time on Broadway, but matters of the heart complicate the attempt.","English","United States","Won 1 Oscar. 3 nominations total","https://m.media-amazon.com/images/M/MV5BZmJlOWM4NDEtYmZmYS00MTIyLTgwYWMtMjFhYmNhZWU4ZmVmXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg",5.6,7739,"movie",NA,NA,NA,NA,3,2,1
"02-1930","tt0019788","Coquette",1929,NA,76,"Drama, Romance","Sam Taylor","George Abbott, Ann Preston Bridgers, John Grey","Mary Pickford, Johnny Mack Brown, Matt Moore","A flirtatious Southern belle is compromised with one of her suitors.","English","United States","Won 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BODY0OGEwMWYtNDQ4NC00Y2M2LWJkN2ItYjI0ZjI1MjJiMmJhXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg",5.5,2276,"movie",NA,NA,NA,NA,1,0,1
"02-1930","tt0019824","The Divine Lady",1928,NA,99,"Drama, History, Romance, War","Frank Lloyd","E. Barrington, Forrest Halsey, Harry Carr","Corinne Griffith, Victor Varconi, H.B. Warner","The story of the romance between Emma, Lady Hamilton, and British war hero Admiral Horatio Nelson.","None, English","United States","Won 1 Oscar. 3 nominations total","https://m.media-amazon.com/images/M/MV5BMTc3MDIxODQ3MF5BMl5BanBnXkFtZTgwMTkwMDY0MjE@._V1_SX300.jpg",6.2,882,"movie",NA,NA,NA,NA,3,2,1
"02-1930","tt0019833","Drag",1929,NA,85,"Drama","Frank Lloyd","Bradley King, William Dudley Pelley","Richard Barthelmess, Lucien Littlefield, Kathrin Clare Ward","A writer is torn between his wife, and a more sophisticated woman that he lusts after.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BM2E2ZTQ3YjQtNzYxNC00OGJmLTgwYzctNTk4ZTJmNmQwOTgzXkEyXkFqcGdeQXVyMjk2NjgyMjE@._V1_SX300.jpg",6.5,67,"movie",NA,NA,NA,NA,1,1,0
"02-1930","tt0019843","Dynamite",1929,NA,129,"Comedy, Drama, Romance","Cecil B. DeMille","Jeanie Macpherson, John Howard Lawson, Gladys Unger","Conrad Nagel, Kay Johnson, Charles Bickford","Wealthy Cynthia is in love with not-so-wealthy Roger, who is married to Marcia. The threesome is terribly modern about the situation, and Marcia will gladly divorce Roger if Cynthia agrees to a financial settlement. But Cynthia's wea","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMzg0OGYzNzktMmQ0Ni00NGFiLTg3NjgtNjdiOGVmZDllNzQ4XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg",6.9,471,"movie",NA,NA,NA,NA,1,1,0
"02-1930","tt0019993","The Hollywood Revue of 1929",1929,NA,130,"Comedy, Music","Charles Reisner, Christy Cabanne, Norman Houston","Al Boasberg, Robert E. Hopkins, Joseph Farnham","Conrad Nagel, Jack Benny, John Gilbert","An all-star revue featuring MGM contract players.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjBlYjY4NGEtOTZiMS00NWZlLWFmYjMtOWQ5M2FiYTU3Yjk4XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg",5.8,2209,"movie",NA,NA,NA,NA,1,1,0
"02-1930","tt0020018","In Old Arizona",1928,NA,95,"Drama, Western","Raoul Walsh, Irving Cummings","O. Henry, Tom Barry, Paul Gerard Smith","Edmund Lowe, Warner Baxter, Dorothy Burgess","A charming, happy-go-lucky bandit in old Arizona plays cat-and-mouse with the sheriff trying to catch him while he romances a local beauty.","English, Spanish, Italian","United States","Won 1 Oscar. 2 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BMjE0ODAxNzQ0M15BMl5BanBnXkFtZTgwNTk4ODQwMjE@._V1_SX300.jpg",5.5,1232,"movie",NA,"Prime Rentals",NA,NA,5,4,1
